Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
7.071079322,3.539776857,4.801604508,1.894123839,0
6.196075313,3.87570828,4.777633174,1.037369768,0
7.162723822,3.156700289,5.567441105,2.725813988,0
5.257868603,1.538518823,3.760564113,0.224423626,0
6.721558494,3.223049485,3.733299661,1.619530469,0
5.592240691,2.804656266,4.186293553,0.764411003,0
5.950492504,3.015987995,5.023600484,0.674316438,0
5.439054038,2.651311542,4.20254624,1.130275226,0
7.122296916,3.637467332,5.116050151,1.412160687,0
5.825488129,2.635215261,4.038486701,1.421294944,0
5.82927593,2.147985806,3.436662025,0.942101396,0
5.701976761,3.016085521,4.280164628,2.252193879,0
5.971264442,2.41953375,4.149263002,1.55701823,0
6.092060292,2.87680091,5.600402332,0.491949522,0
5.346408291,3.398519441,3.542619015,0.87599315,0
6.7587888,3.586189671,5.235054397,1.432871124,0
5.480853407,3.066291517,4.304703036,1.25919093,0
5.976174793,2.600596377,4.112709693,0.749194356,0
6.743198173,2.488128996,4.514633473,2.034948593,0
5.644412363,1.946675299,4.411835026,0.531140755,0
6.272636947,3.058021815,5.603390689,2.345855682,0
6.362691832,2.754698332,3.875855716,1.579205935,0
6.58530507,3.008574711,4.679838781,2.101435581,0
5.650681892,2.457116387,4.981791042,1.662688208,0
5.964068654,3.937136581,4.64886786,0.913313686,0
6.41110838,3.327723956,4.702397138,0.394140038,0
7.216554917,2.543991693,4.088492068,1.489421589,0
5.360450169,3.01923771,5.32972116,1.500140126,0
7.047221804,2.836752935,4.644034092,0.567560369,0
5.564025407,2.796626726,3.381655193,1.876948721,0
5.496273951,2.74680569,3.485643393,1.590334195,0
5.664575602,2.439425319,3.178815837,1.083231786,0
5.22196395,2.620431881,4.208737254,1.774146017,0
5.531887494,2.73978556,5.150714432,1.045851574,0
5.205153708,3.028120117,4.084194717,1.829129655,0
6.999779202,3.686911786,4.067026592,1.64507691,0
6.559176717,2.693576571,5.281347111,1.988443256,0
6.159774777,2.803967257,4.739510003,1.708721906,0
5.550177834,3.212664516,4.972342623,1.604415534,0
5.810824992,2.249502847,4.08322417,1.17148921,0
5.572949284,2.009603903,4.506039517,1.183235738,0
5.577970518,2.784778926,5.213583314,0.862156044,0
6.311863454,2.648558256,3.965794962,0.495373429,0
5.738793023,3.008432913,3.004507844,0.358489813,0
5.386457429,2.516774517,4.277528784,1.604929465,0
6.425145007,4.304828223,5.000573351,1.072658608,0
5.742227849,2.641144551,4.246482802,1.548150315,0
5.934431871,2.515912728,4.543158504,0.079345571,0
4.462215397,2.401513527,1.790445626,0.690315331,0
5.175468006,3.454093559,4.30708036,1.553293363,0
6.102497794,3.330938814,6.602472688,3.020532727,1
5.987125012,3.291122657,5.440424106,2.590487687,1
7.619460251,2.866016228,6.608920188,2.120708964,1
7.043908702,3.106028767,5.430597226,1.556574378,1
5.716430228,2.952969115,5.572020556,2.366913379,1
8.290532521,2.745778294,7.267002019,2.382981918,1
4.134621825,2.585033694,4.618237209,1.321162973,1
7.69862125,2.464106035,5.803003564,1.884123521,1
6.515853435,2.073769532,5.993375512,1.803908175,1
7.044750781,2.446008732,6.136287617,2.57338397,1
7.099853787,3.072962663,5.221899556,1.86716471,1
5.915971392,2.926713988,5.351400346,2.226840735,1
6.685304045,3.23393541,5.644858743,1.967851083,1
6.113576394,2.856766152,4.850673986,2.908269154,1
5.559871038,2.915483069,5.243144532,2.447657167,1
6.689214562,3.324470672,5.370716468,2.349161781,1
5.872909535,2.378394172,5.208215408,1.877423747,1
7.738827778,2.607924156,7.002231349,1.965920448,1
8.143985084,1.878673596,6.176610198,3.228314972,1
4.852846233,2.011330698,4.387872701,1.192421642,1
7.253277577,2.761556248,5.736646654,1.841205634,1
6.105640702,2.752951616,5.092030148,2.111797418,1
7.221643617,3.194309666,7.148299685,0.967086024,1
5.009364551,2.627724013,4.124569694,1.985775829,1
6.43269567,2.985763947,5.844225053,2.072170292,1
7.173222798,2.29772761,6.423313211,1.181091923,1
6.646999387,2.69713545,4.372376455,1.672783096,1
5.21838213,3.463581406,5.322605709,1.882883203,1
6.619412247,2.599326217,4.99934712,1.585431175,1
6.844542635,3.135952471,5.367570582,1.578759639,1
7.710563833,2.206592541,5.986173374,1.802961843,1
7.346614739,3.786069575,5.902951087,1.421971463,1
4.87494343,2.632391703,6.171492803,1.538403355,1
5.71687011,1.628292021,4.907689537,1.665945967,1
6.183835833,3.238444151,5.021871837,1.17053995,1
7.750641344,2.751392451,5.116256665,1.931045821,1
6.049659349,3.560819852,5.648530325,2.488725894,1
6.455189208,3.376301489,5.107624524,1.811732959,1
5.770724188,3.676542226,4.845819536,1.728278503,1
7.048140385,4.264140486,5.605613726,2.325793523,1
7.106987642,3.663742488,5.301921665,2.990984194,1
6.664277919,3.191874559,5.008582158,1.686752288,1
5.873323597,1.727536333,5.518334488,1.902773997,1
6.626803052,3.369736764,5.863162185,2.021211174,1
6.540944732,3.099237597,5.694091423,2.669882819,1
6.156704724,1.940786578,5.202919499,2.244365738,1
7.087877378,1.5895086,4.495128115,1.614565333,1
6.229604222,3.108276879,4.73239607,2.122186337,1
6.967592435,3.453356289,5.977096404,1.589300467,1
5.948802097,3.232104179,5.410472797,0.567376073,1
